state,dataset,lifestage,DataType,Escapement Methodology Description,Biologist Methodology Description
WA,1041,J,Trap Count,Touchet - Dayton Smolt Trap,"Data were in migration years - used the latter year for data series (i.e., 98/99 entered as 1999)"
WA,1042,J,Trap Count,Touchet - Waitsburg Smolt Trap,"Data were in migration years - used the latter year for data series (i.e., 98/99 entered as 1999)"
WA,1043,J,Trap Count,Touchet - Harvey-Shaw Smolt Trap,"Data were in migration years - used the latter year for data series (i.e., 98/99 entered as 1999)"
WA,1044,J,Trap Count,Entiat - Smolt Trap Counts,Entiat Basin - only captures from the lower trap location from 2008 to current
WA,1045,J,Trap Count,Chiwawa - Smolt Trap Counts,Juvenile fish data only. Juvenile = <300mm FL and Adult = >300mm FL; Effort was not consistent between years i.e. dates smolt trap operated and the cone position/catch probability varied from year to year.
WA,1046,J,Trap Count,Smolt Trap Counts,Adult fish data only. Juvenile = <300mm FL and Adult = >300mm FL; Effort was not consistent between years i.e. dates smolt trap operated and the cone position/catch probability varied from year to year. 
WA,1047,J,Trap Count,Smolt Trap Counts - Lower Wenatchee River smolt trap location,Juvenile fish data only. Juvenile = <300mm FL and Adult = >300mm FL; Effort was not consistent between years i.e. dates smolt trap operated and the cone position/catch probability varied from year to year.
WA,1048,J,Trap Count,Smolt Trap Counts - Monitor smolt trap location,Juvenile fish data only. Juvenile = <300mm FL and Adult = >300mm FL; Effort was not consistent between years i.e. dates smolt trap operated and the cone position/catch probability varied from year to year.
WA,1049,J,Trap Count,Smolt Trap Counts - Lake smolt trap location,Juvenile fish data only. Juvenile = <300mm FL and Adult = >300mm FL; Effort was not consistent between years i.e. dates smolt trap operated and the cone position/catch probability varied from year to year.
WA,1050,A,Spawner Redds,"Cumulative total of redds counted throughout the spawning season in redd*days (i.e., before being divided by redd life).",Tucannon River - Data are index area redd counts and total redd counts.
WA,1051,A,Spawner Redds,"Cumulative total of redds counted throughout the spawning season in redd*days (i.e., before being divided by redd life).",Bear Creek in Tuncannon- Data are index area redd counts and total redd counts.
WA,1052,A,Spawner Redds,Raw annual bull trout redd count data from WDFW,skagit and nps bull trout trends thru 2019.doc
WA,1053,A,Spawner Redds,Raw annual bull trout redd count data from WDFW,skagit and nps bull trout trends thru 2019.doc
WA,1054,A,Spawner Redds,Raw annual bull trout redd count data from WDFW,skagit and nps bull trout trends thru 2019.doc
WA,1055,A,Spawner Redds,Raw annual bull trout redd count data from WDFW,skagit and nps bull trout trends thru 2019.doc
WA,1056,A,Cumulative Redd Count,Bull trout redd count data from CRW-HCP monitoring ,Data are redd counts
WA,1057,A,Cumulative Redd Count,Bull trout redd count data from CRW-HCP monitoring ,Data are redd counts
WA,1058,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1059,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1060,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1061,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1062,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1063,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1064,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1065,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1066,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1067,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1068,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1069,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1070,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1071,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1072,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1073,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1074,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1075,A,Spawner redds,"Cumulative total of redds counted from a number of tributaries throughout the season, no adjustment for fish/redd. Effort varies by year",Data are redd counts
WA,1076,A,Spawner Fish,"Expanded estimate, census, or count of spawners that represents only a portion of spawner abundance for the entire stock and has been separated for management purposes.","Data are peak counts of adult char during snorkel surveys conducted by WDFW from Red Reef Pool (RM 29.7) to Lake Cushman Bridge (RM 28.1, inlet) in the NF Skokomish River upstream of Lake Cushman.  In 1995 the National Parks Service took over surveys."
WA,1079,A,Skagit River mainstem trap near Mt Vernon WA operated by Washington Department of Fish and Wildlife,Totals from scoop and screw traps,Data are total annual catch 
